Timestamp,Label
2024-05-08 10:13:23.642559,Excellent
2024-05-08 10:15:01.004826,Acceptable
2024-05-08 10:17:32.223855,So and So
2024-05-08 10:17:42.317545,Acceptable
2024-05-08 10:18:01.466976,Excellent
2024-05-08 10:20:01.817506,Acceptable
2024-05-08 10:20:17.037289,Uncomfortable
2024-05-08 10:20:24.575094,Acceptable
2024-05-08 10:21:08.071137,Acceptable
2024-05-08 10:21:16.788077,Excellent
2024-05-08 10:21:26.056460,So and So
2024-05-08 10:21:32.843690,Acceptable
2024-05-08 10:21:39.626008,Excellent
2024-05-08 10:21:57.389454,Uncomfortable
2024-05-08 10:22:04.206425,Acceptable
2024-05-08 10:22:12.856202,Excellent
2024-05-08 10:22:58.165061,So and So
2024-05-08 10:23:03.907688,Acceptable
2024-05-08 10:23:12.893234,Excellent
2024-05-08 10:23:46.268079,Uncomfortable
2024-05-08 10:23:50.112657,Acceptable
2024-05-08 10:23:51.906187,Excellent
2024-05-08 10:24:19.205625,Uncomfortable
2024-05-08 10:24:21.463520,Acceptable
2024-05-08 10:24:22.742627,Excellent
2024-05-08 10:24:28.906763,Acceptable
2024-05-08 10:24:32.121160,Excellent
2024-05-08 10:24:39.733780,So and So
2024-05-08 10:24:42.873980,Acceptable
2024-05-08 10:24:43.690447,Excellent
2024-05-08 10:24:48.904632,Acceptable
2024-05-08 10:24:51.639464,Excellent
2024-05-08 10:25:08.721814,Acceptable
2024-05-08 10:25:20.716252,Excellent
2024-05-08 10:25:24.400662,Acceptable
2024-05-08 10:25:31.789068,Excellent
2024-05-08 10:25:37.896522,So and So
2024-05-08 10:25:39.962888,Acceptable
2024-05-08 10:25:41.090085,Excellent
2024-05-08 10:26:10.094054,Acceptable
2024-05-08 10:26:13.722047,Excellent
2024-05-08 10:26:29.959695,Acceptable
2024-05-08 10:26:30.814975,So and So
2024-05-08 10:26:34.926056,Uncomfortable
2024-05-08 10:26:36.676039,Acceptable
2024-05-08 10:26:38.503369,Excellent
2024-05-08 10:26:51.845970,So and So
2024-05-08 10:26:54.855818,Acceptable
2024-05-08 10:26:57.116798,Excellent
2024-05-08 10:27:23.625279,So and So
2024-05-08 10:27:25.245834,Acceptable
2024-05-08 10:27:26.565547,Excellent
2024-05-08 10:27:35.286268,Acceptable
2024-05-08 10:27:36.055108,So and So
2024-05-08 10:27:37.797349,Acceptable
2024-05-08 10:27:39.006573,Excellent
2024-05-08 10:27:54.006546,So and So
2024-05-08 10:27:55.051732,Acceptable
2024-05-08 10:27:56.082849,Excellent
2024-05-08 10:28:31.671519,Acceptable
2024-05-08 10:28:32.823547,Excellent
2024-05-08 10:28:41.859542,Acceptable
2024-05-08 10:28:49.948679,Excellent
