Timestamp,Label
2024-05-08 09:43:05.614563,Excellent
2024-05-08 09:43:18.492008,Acceptable
2024-05-08 09:43:25.917101,Excellent
2024-05-08 09:43:31.086042,Acceptable
2024-05-08 09:43:33.944904,Excellent
2024-05-08 09:43:37.047580,So and So
2024-05-08 09:43:38.081495,Excellent
2024-05-08 09:43:51.402557,So and So
2024-05-08 09:43:53.701999,Acceptable
2024-05-08 09:43:54.487419,Excellent
2024-05-08 09:44:19.536868,So and So
2024-05-08 09:44:21.368282,Acceptable
2024-05-08 09:44:27.700044,So and So
2024-05-08 09:44:29.412698,Acceptable
2024-05-08 09:44:30.063308,Excellent
2024-05-08 09:44:52.005606,Acceptable
2024-05-08 09:44:56.049753,Excellent
2024-05-08 09:45:02.276741,Acceptable
2024-05-08 09:45:03.797277,Excellent
2024-05-08 09:45:30.261055,So and So
2024-05-08 09:45:36.057451,Acceptable
2024-05-08 09:45:38.233795,Excellent
2024-05-08 09:45:50.097287,Acceptable
2024-05-08 09:45:51.410832,So and So
2024-05-08 09:45:52.280820,Acceptable
2024-05-08 09:45:54.555154,Excellent
2024-05-08 09:46:06.174797,Acceptable
2024-05-08 09:46:10.174181,Excellent
2024-05-08 09:46:14.604811,Acceptable
2024-05-08 09:46:18.092046,So and So
2024-05-08 09:46:23.171630,Acceptable
2024-05-08 09:46:25.834165,Excellent
2024-05-08 09:46:33.945355,Acceptable
2024-05-08 09:46:35.796044,So and So
2024-05-08 09:46:44.265411,Acceptable
2024-05-08 09:46:45.946611,Excellent
2024-05-08 09:46:55.257377,Acceptable
2024-05-08 09:46:59.023072,So and So
2024-05-08 09:47:01.503194,Uncomfortable
2024-05-08 09:47:03.632459,Acceptable
2024-05-08 09:47:04.985286,Excellent
2024-05-08 09:47:24.428875,Acceptable
2024-05-08 09:47:25.565609,So and So
2024-05-08 09:47:29.580212,Acceptable
2024-05-08 09:47:38.347227,Excellent
2024-05-08 09:47:39.301342,Acceptable
2024-05-08 09:47:40.131270,So and So
2024-05-08 09:47:45.564426,Acceptable
2024-05-08 09:47:52.002502,So and So
2024-05-08 09:47:56.620963,Acceptable
2024-05-08 09:48:00.425531,So and So
2024-05-08 09:48:06.056756,Acceptable
2024-05-08 09:48:08.688783,So and So
2024-05-08 09:48:11.289461,Acceptable
2024-05-08 09:48:36.036751,So and So
2024-05-08 09:48:37.408013,Acceptable
2024-05-08 09:48:41.864959,So and So
2024-05-08 09:48:45.410387,Acceptable
2024-05-08 09:48:48.069731,So and So
2024-05-08 09:48:48.661301,Uncomfortable
2024-05-08 09:48:53.708200,Acceptable
2024-05-08 09:49:00.915653,Excellent
2024-05-08 09:49:05.020723,So and So
2024-05-08 09:49:09.072096,Acceptable
2024-05-08 09:49:12.254772,Excellent
2024-05-08 09:49:21.593342,Acceptable
2024-05-08 09:49:26.530113,Excellent
2024-05-08 09:49:33.615175,Acceptable
2024-05-08 09:49:36.755246,So and So
2024-05-08 09:49:37.572853,Acceptable
2024-05-08 09:49:38.441240,Excellent
2024-05-08 09:49:52.996359,Acceptable
2024-05-08 09:49:59.641861,Excellent
2024-05-08 09:50:12.256037,Acceptable
2024-05-08 09:50:23.153992,Excellent
2024-05-08 09:50:24.491662,Acceptable
2024-05-08 09:50:26.219189,So and So
2024-05-08 09:50:27.931053,Acceptable
2024-05-08 09:50:29.272589,Excellent
2024-05-08 09:50:39.746228,Acceptable
2024-05-08 09:50:45.182802,Excellent
2024-05-08 09:50:52.798908,Acceptable
2024-05-08 09:50:57.784581,Excellent
2024-05-08 09:51:07.283163,Acceptable
2024-05-08 09:51:08.088686,So and So
2024-05-08 09:51:14.672328,Uncomfortable
2024-05-08 09:51:15.874146,Acceptable
2024-05-08 09:51:21.216402,Excellent
2024-05-08 09:51:42.444856,Acceptable
2024-05-08 09:51:43.382687,So and So
2024-05-08 09:51:45.920855,Excellent
2024-05-08 09:52:26.099612,Acceptable
2024-05-08 09:52:29.593719,So and So
2024-05-08 09:52:35.082785,Uncomfortable
2024-05-08 09:52:36.787878,So and So
2024-05-08 09:52:38.906328,Acceptable
2024-05-08 09:52:42.524486,So and So
2024-05-08 09:52:44.143922,Acceptable
2024-05-08 09:52:45.250167,Excellent
2024-05-08 09:52:55.589695,Acceptable
2024-05-08 09:53:04.590030,So and So
2024-05-08 09:53:05.692337,Uncomfortable
2024-05-08 09:53:14.372716,So and So
2024-05-08 09:53:15.185742,Acceptable
2024-05-08 09:53:38.211003,So and So
2024-05-08 09:53:52.021411,Acceptable
2024-05-08 09:53:54.741251,So and So
2024-05-08 09:53:56.681609,Acceptable
2024-05-08 09:53:57.447527,Excellent
2024-05-08 09:54:10.493534,Acceptable
2024-05-08 09:54:12.460383,So and So
2024-05-08 09:54:26.798670,Acceptable
2024-05-08 09:54:28.133377,So and So
2024-05-08 09:54:29.378878,Acceptable
2024-05-08 09:54:30.528402,Excellent
2024-05-08 09:54:36.284584,Acceptable
2024-05-08 09:54:37.654852,So and So
2024-05-08 09:54:44.009164,Uncomfortable
2024-05-08 09:54:45.324026,So and So
2024-05-08 09:54:47.997319,Acceptable
2024-05-08 09:54:52.429826,Uncomfortable
2024-05-08 09:54:56.549614,So and So
2024-05-08 09:54:58.289645,Acceptable
2024-05-08 09:55:29.106674,So and So
2024-05-08 09:55:31.890035,Acceptable
2024-05-08 09:55:33.872507,Excellent
2024-05-08 09:55:56.165826,Acceptable
2024-05-08 09:55:57.948554,So and So
2024-05-08 09:56:03.597463,Acceptable
2024-05-08 09:56:06.564414,Excellent
2024-05-08 09:56:20.729407,So and So
2024-05-08 09:56:25.023684,Acceptable
2024-05-08 09:56:28.859119,Excellent
2024-05-08 09:56:35.260866,So and So
2024-05-08 09:56:37.173745,Acceptable
2024-05-08 09:56:39.856539,Excellent
2024-05-08 09:56:42.158111,So and So
2024-05-08 09:56:44.203353,Uncomfortable
2024-05-08 09:56:49.711138,So and So
2024-05-08 09:56:51.166646,Acceptable
2024-05-08 09:56:52.554949,Excellent
2024-05-08 09:57:04.172411,Acceptable
2024-05-08 09:57:06.653460,Excellent
2024-05-08 09:57:37.433199,Acceptable
2024-05-08 09:57:39.430731,Excellent
2024-05-08 09:57:46.034785,Acceptable
2024-05-08 09:57:49.272004,Excellent
2024-05-08 09:57:50.799318,So and So
2024-05-08 09:57:53.901098,Acceptable
2024-05-08 09:57:55.286983,Excellent
2024-05-08 09:58:01.890107,Acceptable
2024-05-08 09:58:16.231056,So and So
2024-05-08 09:58:19.050873,Uncomfortable
2024-05-08 09:58:24.528501,So and So
2024-05-08 09:58:31.597359,Acceptable
2024-05-08 09:58:36.308247,Excellent
2024-05-08 09:58:51.284804,So and So
2024-05-08 09:58:55.075289,Acceptable
2024-05-08 09:58:58.303162,Excellent
2024-05-08 09:59:05.722022,Acceptable
2024-05-08 09:59:28.697171,Excellent
2024-05-08 09:59:56.111130,Acceptable
2024-05-08 09:59:56.815929,So and So
2024-05-08 09:59:58.993749,Acceptable
2024-05-08 10:00:23.773759,Excellent
2024-05-08 10:00:42.584730,So and So
2024-05-08 10:00:44.560910,Acceptable
2024-05-08 10:01:04.677940,So and So
2024-05-08 10:01:07.531581,Acceptable
2024-05-08 10:01:22.089542,Excellent
2024-05-08 10:02:22.861871,Acceptable
2024-05-08 10:02:26.607424,Excellent
2024-05-08 10:07:47.199881,Acceptable
2024-05-08 10:07:50.902786,Excellent
2024-05-08 10:08:12.712133,Acceptable
2024-05-08 10:08:20.861228,Excellent
2024-05-08 10:08:34.660272,Acceptable
2024-05-08 10:08:37.779311,Excellent
2024-05-08 10:08:59.423753,Uncomfortable
2024-05-08 10:09:00.456202,So and So
2024-05-08 10:09:01.403472,Acceptable
2024-05-08 10:09:02.139799,Excellent
2024-05-08 10:10:09.643770,Acceptable
2024-05-08 10:10:11.956023,Excellent
2024-05-08 10:10:59.298487,Acceptable
2024-05-08 10:11:01.603068,So and So
2024-05-08 10:11:04.301321,Acceptable
2024-05-08 10:11:15.497632,Excellent
2024-05-08 10:11:33.306191,Acceptable
2024-05-08 10:11:36.860343,Excellent
2024-05-08 10:12:33.943648,Acceptable
2024-05-08 10:12:34.556543,So and So
2024-05-08 10:12:38.036171,Acceptable
2024-05-08 10:12:39.376609,Excellent
2024-05-08 10:13:22.100901,Acceptable
2024-05-08 10:13:25.979755,Excellent
2024-05-08 10:15:15.451502,Acceptable
2024-05-08 10:15:18.253932,Excellent
2024-05-08 10:15:37.628478,Acceptable
2024-05-08 10:15:45.003715,Excellent
2024-05-08 10:15:58.114450,Acceptable
2024-05-08 10:15:59.119641,Excellent
2024-05-08 10:16:07.974507,Acceptable
2024-05-08 10:16:16.123768,Excellent
2024-05-08 10:16:17.155309,Acceptable
2024-05-08 10:16:19.005305,Excellent
2024-05-08 10:16:39.186360,Acceptable
2024-05-08 10:16:46.076711,Excellent
2024-05-08 10:17:19.427497,Acceptable
2024-05-08 10:17:23.063624,Excellent
2024-05-08 10:17:30.224083,Acceptable
2024-05-08 10:17:35.629966,Excellent
2024-05-08 10:17:40.939437,Acceptable
2024-05-08 10:17:46.730910,Excellent
2024-05-08 10:17:59.777911,Acceptable
2024-05-08 10:18:04.613834,Excellent
2024-05-08 10:18:25.617046,Acceptable
2024-05-08 10:18:27.962447,Excellent
2024-05-08 10:18:54.516607,Acceptable
2024-05-08 10:18:58.534152,So and So
2024-05-08 10:19:06.424109,Acceptable
2024-05-08 10:19:08.521509,Excellent
2024-05-08 10:19:20.209593,Acceptable
2024-05-08 10:19:24.216536,Excellent
2024-05-08 10:19:54.582955,Acceptable
2024-05-08 10:19:57.117320,So and So
2024-05-08 10:19:59.004950,Acceptable
2024-05-08 10:20:01.041473,Excellent
2024-05-08 10:21:26.752414,Acceptable
2024-05-08 10:21:29.966825,Excellent
2024-05-08 10:22:20.849327,Acceptable
2024-05-08 10:22:23.153707,Excellent
2024-05-08 10:22:31.350978,Acceptable
2024-05-08 10:22:40.942591,So and So
2024-05-08 10:22:42.284102,Acceptable
2024-05-08 10:22:44.744692,Excellent
2024-05-08 10:23:02.889428,Acceptable
2024-05-08 10:23:08.085896,Excellent
2024-05-08 10:23:11.025846,Acceptable
2024-05-08 10:23:14.089622,Excellent
2024-05-08 10:23:26.980198,Acceptable
2024-05-08 10:23:32.888464,So and So
2024-05-08 10:23:40.866337,Acceptable
2024-05-08 10:23:45.174029,Excellent
2024-05-08 10:23:46.852319,Acceptable
2024-05-08 10:23:54.612913,Excellent
2024-05-08 10:24:03.284649,Acceptable
2024-05-08 10:24:05.535418,Excellent
2024-05-08 10:24:42.671373,Acceptable
2024-05-08 10:24:53.884462,So and So
2024-05-08 10:24:54.591342,Acceptable
2024-05-08 10:25:14.035289,Excellent
2024-05-08 10:25:31.547886,Acceptable
2024-05-08 10:25:40.867857,So and So
2024-05-08 10:25:44.664971,Acceptable
2024-05-08 10:25:55.412802,So and So
2024-05-08 10:25:56.803521,Acceptable
2024-05-08 10:25:57.735508,Excellent
2024-05-08 10:26:04.877398,Acceptable
2024-05-08 10:26:09.289190,Excellent
2024-05-08 10:27:18.449051,Acceptable
2024-05-08 10:27:23.277773,Excellent
2024-05-08 10:27:36.199608,Acceptable
2024-05-08 10:27:39.145143,So and So
2024-05-08 10:27:42.249067,Acceptable
2024-05-08 10:27:50.222118,So and So
2024-05-08 10:27:52.917315,Acceptable
2024-05-08 10:27:54.014217,Excellent
2024-05-08 10:28:06.235383,Acceptable
2024-05-08 10:28:08.307774,So and So
2024-05-08 10:28:14.177303,Acceptable
2024-05-08 10:28:18.125647,Excellent
2024-05-08 10:28:47.231868,Acceptable
2024-05-08 10:28:53.687220,Excellent
2024-05-08 10:28:57.672186,Acceptable
2024-05-08 10:28:59.070018,Excellent
2024-05-08 10:29:15.820880,Acceptable
2024-05-08 10:29:19.668035,So and So
2024-05-08 10:29:25.578558,Acceptable
2024-05-08 10:29:33.001595,Excellent
2024-05-08 10:30:28.869759,Acceptable
2024-05-08 10:30:32.027806,Excellent
2024-05-08 10:31:25.512748,Acceptable
2024-05-08 10:31:33.840110,Excellent
2024-05-08 10:31:39.226375,Acceptable
2024-05-08 10:31:42.547277,Excellent
2024-05-08 10:32:00.200687,Acceptable
2024-05-08 10:32:26.631154,Excellent
2024-05-08 10:33:18.402967,Acceptable
2024-05-08 10:33:25.907424,Excellent
2024-05-08 10:33:54.000290,Acceptable
2024-05-08 10:34:00.483441,Excellent
2024-05-08 10:34:22.734247,Acceptable
2024-05-08 10:34:28.466260,Excellent
2024-05-08 10:34:51.450446,Acceptable
2024-05-08 10:34:59.871071,Excellent
2024-05-08 10:35:18.915081,Acceptable
2024-05-08 10:35:20.608138,Excellent
2024-05-08 10:35:39.252811,Acceptable
2024-05-08 10:35:42.125754,Excellent
2024-05-08 10:36:04.698064,Acceptable
