Timestamp,Label
2024-05-09 15:59:13.279630,Excellent
2024-05-09 16:03:55.964842,Acceptable
2024-05-09 16:04:03.103214,Acceptable
2024-05-09 16:04:06.168781,Acceptable
2024-05-09 16:04:23.808791,Excellent
2024-05-09 16:05:03.016546,Acceptable
2024-05-09 16:05:13.261161,So and So
2024-05-09 16:05:14.361851,Uncomfortable
2024-05-09 16:05:22.292313,So and So
2024-05-09 16:05:23.430237,Excellent
2024-05-09 16:06:09.862885,Acceptable
2024-05-09 16:06:11.471250,So and So
2024-05-09 16:06:14.874901,Excellent
2024-05-09 16:06:21.229345,Acceptable
2024-05-09 16:06:22.345924,So and So
2024-05-09 16:06:45.292026,Acceptable
2024-05-09 16:06:46.947288,Excellent
2024-05-09 16:07:17.737058,Not paying attention
2024-05-09 16:07:37.046946,Acceptable
2024-05-09 16:07:47.174234,Excellent
2024-05-09 16:08:38.916161,So and So
2024-05-09 16:08:44.022320,Excellent
2024-05-09 16:08:50.824607,Acceptable
2024-05-09 16:08:55.684522,Excellent
2024-05-09 16:09:38.361396,Not paying attention
2024-05-09 16:10:47.703124,Excellent
2024-05-09 16:10:55.425722,Acceptable
2024-05-09 16:10:56.663428,Excellent
2024-05-09 16:11:20.342554,Acceptable
2024-05-09 16:11:27.967217,Excellent
2024-05-09 16:11:33.669846,Acceptable
2024-05-09 16:11:34.433870,So and So
2024-05-09 16:11:38.225110,Acceptable
2024-05-09 16:11:38.794499,Excellent
2024-05-09 16:12:13.731479,Acceptable
2024-05-09 16:12:16.385142,Excellent
2024-05-09 16:12:37.880586,Acceptable
2024-05-09 16:12:39.765042,Excellent
2024-05-09 16:12:45.157789,Acceptable
2024-05-09 16:12:46.727336,Excellent
2024-05-09 16:14:26.581445,Acceptable
2024-05-09 16:14:27.488894,So and So
2024-05-09 16:14:29.887585,Acceptable
2024-05-09 16:14:32.138402,Excellent
2024-05-09 16:16:15.565307,Acceptable
2024-05-09 16:16:19.871987,Excellent
2024-05-09 16:17:26.323531,Acceptable
2024-05-09 16:17:28.541668,Excellent
2024-05-09 16:17:41.355368,Acceptable
2024-05-09 16:17:46.249098,Excellent
2024-05-09 16:17:58.264023,Acceptable
2024-05-09 16:18:00.603726,Excellent
2024-05-09 16:18:38.356615,Acceptable
2024-05-09 16:18:39.011563,Excellent
2024-05-09 16:19:14.315658,Acceptable
2024-05-09 16:19:20.876128,Excellent
2024-05-09 16:19:37.057353,Acceptable
2024-05-09 16:19:44.375925,Excellent
2024-05-09 16:20:13.926001,Not paying attention
2024-05-09 16:21:09.378272,Excellent
2024-05-09 16:21:15.092151,Acceptable
2024-05-09 16:21:17.102733,Excellent
2024-05-09 16:24:00.533232,Acceptable
2024-05-09 16:24:15.272672,Excellent
2024-05-09 16:24:39.414609,Acceptable
2024-05-09 16:24:51.744084,So and So
2024-05-09 16:24:55.966216,Acceptable
2024-05-09 16:24:57.083219,Excellent
2024-05-09 16:25:09.849319,Acceptable
